./sample_data/train/lip_K_5_M_06_C920_A_005_1.flac	에이아이가 도입되면서 사람들의 일자리가 주 줄어들고 있어요	16 29 16 44 16 24 16 44 5 24 4 8 32 16 44 61 8 35 11 30 48 14 28 4 14 24 10 24 60 8 42 52 16 43 4 16 44 52 17 24 10 44 5 24 4 17 37 4 17 37 52 16 28 8 42 52 5 32 4 16 44 64 16 28 16 36
./sample_data/train/lip_K_5_M_06_C920_A_005_2.flac	핵폭탄은 전 세계가 민감하게 반응하는 주제 중 하나입니다	23 25 45 22 32 45 21 24 48 16 42 48 4 17 28 48 4 14 29 5 31 5 24 4 11 44 48 5 24 60 23 24 5 29 4 12 24 48 16 42 65 23 24 7 42 48 4 17 37 17 29 4 17 37 65 4 23 24 7 24 16 44 61 7 44 8 24
./sample_data/train/lip_K_5_M_06_C920_A_005_3.flac	최근에 많은 서비스가 비대면으로 전환이 되고 있습니다	19 35 5 42 48 16 29 4 11 24 50 16 42 48 4 14 28 12 44 14 42 5 24 4 12 44 8 25 11 30 48 16 42 10 32 4 17 28 48 23 33 48 16 44 4 8 35 5 32 4 16 44 64 14 42 61 7 44 8 24
./sample_data/train/lip_K_5_M_06_C920_A_005_4.flac	인플루언서들은 연예인들 만큼이나 영향력이 있는 것 같아	16 44 48 22 42 52 10 37 16 28 48 14 28 8 42 52 16 42 48 4 16 30 48 16 31 16 44 48 8 42 52 4 11 24 48 20 42 60 16 44 7 24 4 16 30 65 23 26 65 10 30 45 16 44 4 16 44 64 7 42 48 4 5 28 63 4 5 24 69 16 24
./sample_data/train/lip_K_5_M_06_C920_A_005_5.flac	중병 환자에게 약물을 투약해 직접 죽음을 유도하는 것이 아닌 생명 유지 장치를 떼어내는 등 간접적인 행위로서 죽음을 유도하는 안락사는 참작될 여지가 있다고 보십니까	17 37 65 12 30 65 4 23 33 48 17 24 16 29 5 29 4 16 26 45 11 37 52 16 42 52 4 21 37 16 26 45 23 25 4 17 44 45 17 28 61 4 17 37 45 16 42 60 16 42 52 4 16 41 8 32 23 24 7 42 48 4 5 28 63 16 44 4 16 24 7 44 48 4 14 25 65 11 30 65 4 16 41 17 44 4 17 24 65 19 44 10 42 52 4 9 29 16 28 7 25 7 42 48 4 8 42 65 4 5 24 48 17 28 61 17 28 45 16 44 48 4 23 25 65 16 40 10 32 14 28 4 17 37 45 16 42 60 16 42 52 4 16 41 8 32 23 24 7 42 48 4 16 24 48 10 24 45 14 24 7 42 48 4 19 24 60 17 24 45 8 35 52 4 16 30 17 44 5 24 4 16 44 64 8 24 5 32 4 12 32 14 44 61 7 44 6 24
./sample_data/train/lip_K_5_M_06_C920_A_005_6.flac	마스크 미착용 시 십만 원 이하의 과태료를 부과한다는데	11 24 14 42 20 42 4 11 44 19 24 45 16 36 65 4 14 44 4 14 44 61 11 24 48 4 16 38 48 4 16 44 23 24 16 43 4 5 33 21 25 10 36 10 42 52 4 12 37 5 33 23 24 48 8 24 7 42 48 8 29
./sample_data/train/lip_K_5_M_06_C920_A_005_7.flac	다음 주부터 장마가 시작한다고 사람들이 벌써 대비를 시작했어요	8 24 16 42 60 4 17 37 12 37 21 28 4 17 24 65 11 24 5 24 4 14 44 17 24 45 23 24 48 8 24 5 32 4 14 24 10 24 60 8 42 52 16 44 4 12 28 52 15 28 4 8 25 12 44 10 42 52 4 14 44 17 24 45 23 25 64 16 28 16 36
./sample_data/train/lip_K_5_M_06_C920_A_005_8.flac	메달리스트의 성향 때문에 메달을 박탈해야 한다니 그게 무슨 말인지 이해가 안 가	11 29 8 24 52 10 44 14 42 21 42 16 43 4 14 28 65 23 26 65 4 9 25 11 37 48 16 29 4 11 29 8 24 52 16 42 52 4 12 24 45 21 24 52 23 25 16 26 4 23 24 48 8 24 7 44 4 5 42 5 29 4 11 37 14 42 48 4 11 24 52 16 44 48 17 44 4 16 44 23 25 5 24 4 16 24 48 4 5 24
./sample_data/train/lip_K_5_M_06_C920_A_005_9.flac	코로나로 인해 집에서 더 많은 시간을 보내다 보니 가사 노동의 가치가 재평가받고 있다는 얘기가 있습니다	20 32 10 32 7 24 10 32 4 16 44 48 23 25 4 17 44 61 16 29 14 28 4 8 28 4 11 24 50 16 42 48 4 14 44 5 24 48 16 42 52 4 12 32 7 25 8 24 4 12 32 7 44 4 5 24 14 24 4 7 32 8 32 65 16 43 4 5 24 19 44 5 24 4 17 25 22 30 65 5 24 12 24 51 5 32 4 16 44 64 8 24 7 42 48 4 16 27 5 44 5 24 4 16 44 64 14 42 61 7 44 8 24
./sample_data/train/lip_K_5_M_06_C920_A_005_10.flac	보이스피싱이 성행이라는 말은 들어 봤지만 실제로 내가 겪을 줄은 몰랐어	12 32 16 44 14 42 22 44 14 44 65 16 44 4 14 28 65 23 25 65 16 44 10 24 7 42 48 4 11 24 52 16 42 48 4 8 42 52 16 28 4 12 33 64 17 44 11 24 48 4 14 44 52 17 29 10 32 4 7 25 5 24 4 5 30 46 16 42 52 4 17 37 52 16 42 48 4 11 32 52 10 24 64 16 28
